Gene1,Gene2,connected_driver_gene,gene_type,confidence
PCCA,PCCB,,3,0.996725
MCCB,MCCA,,3,0.998002
CALR,CALX,,1,0.998589
CANB1,PP2BC,,3,0.991579
BCL2,BID,,1,0.998411
BID,BAK,,3,0.99401
FLOT1,FLOT2,,3,0.999658
GCH1,GFRP,,3,0.991808
TRAF6,IRAK1,,3,0.998601
UB2V1,UBE2N,,3,0.999885
PEX19,PEX3,,3,0.990031
CAZA2,CAPZB,,3,0.995237
CAPZB,CAZA3,,3,0.9921
CAPZB,CAZA1,,3,0.997834
TLN1,PI51C,,3,0.996091
ITA1,ITB1,,3,0.999576
CO4A1,CO4A2,,3,0.999856
CNTN2,NCAM1,,3,0.995639
CNTN2,L1CAM,,3,0.997303
L1CAM,CNTN1,,3,0.99326
L1CAM,CD166,,3,0.995713
L1CAM,NRP1,,3,0.991444
ITAV,ITB3,,3,0.999699
ITB1,ITA5,,3,0.999855
ITB1,ITA9,,3,0.997875
ITA2B,ITB3,,3,0.999805
ITB1,ITAV,,3,0.998563
MP2K1,MK03,,3,0.999535
MK01,MP2K2,,3,0.997686
NFASC,NRCAM,,3,0.990978
CNTN2,NRCAM,,3,0.991779
ANGL8,ANGL3,,3,0.998403
LDLR,PCSK9,,3,0.999259
NMDE1,NMDZ1,,3,0.999808
NMDE2,NMDZ1,,3,0.999605
NMDZ1,NMDE3,,3,0.99908
NMDE4,NMDZ1,,3,0.999641
NMD3A,NMDZ1,,3,0.999134
NMDZ1,NMD3B,,3,0.998129
GRIA2,GRIA1,,3,0.99501
TFB2M,RPOM,,3,0.999972
MYO1C,ACTB,,3,0.998566
SMCA5,BAZ2A,,3,0.997066
DNM3L,DNM3A,,3,0.997063
DNM3B,DNM3L,,3,0.994627
TFR1,HFE,,3,0.993493
TRFE,TFR1,,3,0.997479
CBR4,DHB8,,0,0.995498
PK3CB,P85B,,3,0.999467
P85B,PK3CD,,3,0.997194
P85A,PK3CD,,3,0.997757
PK3CA,P55G,,3,0.999816
P85A,PK3CB,,3,0.996596
PK3CD,P55G,,3,0.999581
PK3CG,PI3R5,,3,0.990889
PK3CB,P55G,,3,0.997902
PK3CA,P85B,,3,0.999738
ITPR1,IRAG1,,3,0.998763
EXT1,EXT2,,1,0.995576
THIO,TXNIP,,3,0.99621
GLHA,LSHB,,3,0.998119
GLHA,TSHB,,3,0.992654
ITB5,ITAV,,3,0.999834
EVC,LBN,,3,0.99356
ABHD5,PLIN1,,3,0.999999
PAK1,FLNA,FLNA,2,0.990115
PK3C3,PI3R4,,3,0.997043
CREB1,CCND1,,1,0.992107
GSH1,GSH0,,3,0.998739
ABCD1,ABCD2,,3,0.994576
ABCD3,ABCD2,,3,0.990258
ABCD1,ABCD3,,3,0.996307
ACHA9,ACH10,,3,0.990876
KCMA1,KCMB1,,3,0.99749
ACHA2,ACHB3,,3,0.997851
LMAN1,MCFD2,,3,0.996528
TMEDA,TMED2,,3,0.994886
HLAA,B2MG,,3,0.999906
IL6RA,IL6,IL6,2,0.99884
STAT1,STAT3,STAT3,2,0.994684
M3K3,SQSTM,,3,0.999308
CLCA,CLH1,,3,0.999515
HSP7C,AUXI,,3,0.992205
GCP60,GOGB1,,3,0.991666
CXB2,CXB1,,3,0.99106
ZO1,CXA1,,3,0.995493
CXA1,SRC,SRC,2,0.994713
LRP2,DAB2,,3,0.990385
AMPH,BIN1,,3,0.99806
COL11,MASP1,,3,0.994559
NECT2,NECT3,,3,0.997163
CADM3,NECT3,,3,0.994842
NECT3,CADM1,,3,0.994763
IL12B,IL12A,,3,0.996621
SUH,SNW1,,3,0.996397
GRB2,CBL,CBL,2,0.99895
HLAC,B2MG,,3,0.999934
SPY2,CBL,CBL,2,0.994172
IRF3,IRF7,,3,0.995403
CBP,CCND1,CCND1,2,0.995304
A2AP,PLMN,,3,0.994042
GDF1,NODAL,,3,0.991097
IL12B,IL23A,,3,0.997674
NFKB1,IKBA,,3,0.999083
VWF,FA8,,3,0.999658
CDN1A,P53,,3,0.996099
M3K14,IKKA,,3,0.992528
RELB,NFKB2,NFKB2,2,0.991643
RELB,TF65,,3,0.994767
ITB1,ILK,,3,0.997093
PAXI,PARVA,,3,0.998991
ACTN1,PARVB,,3,0.992394
MK06,JUN,JUN,2,0.992049
ITB1,ITA3,,3,0.996875
ITA7,ITB1,,3,0.993503
NSUN4,MTEF4,,3,0.999999
S10A9,S10A8,,3,0.995784
CDK2,CCNE1,CCNE1,2,0.999783
MD2L1,CDC20,,3,0.99758
SMAD2,SMAD4,,1,0.999954
GLCM,SAP,,3,0.99261
ITAM,ITB2,,3,0.9992
CBL,VAV,,1,0.992838
TNR1B,TNFA,,3,0.998386
TAB2,M3K7,,3,0.99818
DMA,DMB,,3,0.999033
ITB1,ITA4,,3,0.995459
ITA4,ITB7,,3,0.99279
ITB2,ITAL,,3,0.996072
B2MG,HLAE,,3,0.999352
HLAB,B2MG,,3,0.999724
HLAG,B2MG,,3,0.99945
RAF1,SRC,,1,0.997097
PDGFB,PDGFA,,1,0.993979
ITB1,ITA8,,3,0.99705
ITAV,ITB8,,3,0.994492
COP 1,P53,,3,0.997297
P53,GTSE1,,3,0.991001
MYC,MAX,,1,0.999132
CCNA1,CDK1,,3,0.993119
CDK1,CCNA2,,3,0.991867
LBR,IMB1,,3,0.998248
RAGP1,SUMO1,,3,0.997413
NIPBL,SCC4,,3,0.997493
SUMO1,ANDR,,3,0.998229
ESR1,SUMO1,,1,0.996718
MP2K2,MP2K1,,3,0.992288
CCNT1,CDK9,,3,0.998758
CD3G,CD3Z,,3,0.998547
TAB1,M3K7,,3,0.999237
CO3,CFAH,,3,0.993716
CD81,CD19,,3,0.995244
CO6,CO5,,3,0.999697
SYFA,SYFB,,3,0.997877
SMUF2,SMAD2,SMAD2,2,0.993937
SMAD3,CHIP,,1,0.995038
TGFR2,CBL,CBL,2,0.998302
ITB2,ITAX,,3,0.997501
LFA3,CD2,,3,0.998361
CAV1,BASI,,1,0.998227
4F2,LAT1,,3,0.99334
ITAD,ITB2,,3,0.995522
ITB7,ITAE,,3,0.997431
RPGF1,CRKL,,3,0.999064
BRCA1,SUMO1,,1,0.995749
DAXX,SUMO1,,1,0.997821
SUMO1,EP300,EP300,2,0.995612
HIPK2,SUMO1,,3,0.993106
NCOA1,SUMO1,,1,0.994547
SUMO1,NCOA2,NCOA2,2,0.998334
SIN3A,SUMO1,,3,0.997457
SUMO1,CBX5,,3,0.993243
SUMO1,MDM2,MDM2,2,0.995693
SUMO1,PIAS4,,3,0.99417
VTNC,PAI1,,3,0.997483
DAG1,PGBM,,3,0.995863
ATG5,ATG12,,3,0.993907
JUN,PTEN,,1,0.995424
BCAR1,PTK6,PTK6,2,0.993808
RARA,RXRA,,1,0.99919
LARG2,B4GA1,,3,0.998176
LARG1,B4GA1,,3,0.998299
BIP,ATF6A,,3,0.99593
BIP,ERN 1.00,,3,0.997218
IFIH1,TKFC,,3,0.999068
MAVS,NLRX1,,3,0.994351
GSK3B,AXIN1,AXIN1,2,0.999643
PFKAP,PFKAL,,3,0.999867
PFKAM,PFKAL,,3,0.998937
CEBPA,LEF1,,1,0.993109
CEBPA,CDK2,,1,0.995801
CDK4,CEBPA,,1,0.997564
CREB1,CEBPB,,1,0.997087
CXG1,CXD2,,3,0.999414
RBX1,CUL9,,3,0.997719
IF4A2,IF4A1,,3,0.999931
ANXA2,S10AA,,3,0.999998
DOB,DOA,,3,0.997108
REL,NFKB1,,1,0.992468
TLE1,HDAC1,,3,0.998253
VA0D2,VA0D1,,3,0.998974
VA0E2,VA0E1,,3,0.995868
CD8A,CD8B,,3,0.998597
CD3G,CD3E,,3,0.999229
CD3E,CD3D,,3,0.999182
SEC13,SC31A,,0,0.999133
STX1A,SNP25,,3,0.996282
PRI1,PRI2,,3,0.999891
WDR35,TT21B,,3,0.999653
FAK1,SRC,SRC,2,0.998743
JUN,MAFB,,1,0.995491
STX1A,VAMP2,,3,0.998245
DDB2,DDB1,,1,0.996822
PBX1,PKNX1,,1,0.990913
DLG4,DLG3,,3,0.994912
HDAC1,HDAC2,,3,0.999977
COL10,COL11,,3,0.995461
RCL1,BMS1,,3,0.99964
IL7RA,CRLF2,CRLF2,2,0.99801
GPS2,NCOR2,NCOR2,2,0.999371
GPS2,NCOR1,NCOR1,2,0.999281
PEX13,PEX14,,3,0.996936
MSH4,MSH5,,3,0.999998
MLH1,MLH3,,1,0.999994
ODBB,ODBA,,3,0.999958
NCPR,CP1B1,,3,0.997966
CP1A2,NCPR,,3,0.992013
NCPR,CP2CJ,,3,0.995243
NCPR,CP2R1,,3,0.994987
CP7A1,NCPR,,3,0.993072
ODPAT,ODPB,,3,0.994419
ODPB,ODPA,,3,0.998886
C560,DHSD,,3,0.999157
SDHA,SDHB,,1,0.998944
PP2AA,2AAA,,3,0.997308
ARNT,EPAS1,,1,0.997194
GBB1,GBG2,,3,0.996771
PIAS1,STAT1,,3,0.990611
SIR1,P53,,3,0.999607
MYB,CBP,,1,0.993912
GCR,NCOA2,NCOA2,2,0.998046
HIF1A,ARNT,,1,0.996673
GNA12,GNA13,,3,0.999871
JUN,JUND,,1,0.996272
CTNB1,TF7L2,,3,0.995676
SMCA2,CEBPA,CEBPA,2,0.996871
CCNA2,CDK2,,0,0.996562
ESR1,NCOR1,,1,0.996202
TYY1,HDAC2,,3,0.99692
TLN1,VINC,,3,0.999146
AKT1,RAF1,,1,0.996959
FADD,CASP8,CASP8,2,0.999447
TRRAP,KAT2A,,1,0.999978
NOTC1,SUH,,3,0.991031
AKT1,PTN1,,1,0.995726
AFAD,NECT2,,3,0.997308
TRAF6,M3K3,,3,0.999109
MYC,P73,,1,0.993427
APC,AXIN1,,1,0.999752
ARF,P63,,3,0.996059
CADH1,CTNB1,,3,0.999914
DOK2,RASA1,,3,0.998825
APC,CTNB1,,1,0.9999
NECT3,AFAD,,3,0.996759
HDA11,HDAC6,,3,0.993366
CDK6,CCND1,,1,0.996398
APAF,CASP9,CASP9,2,0.991034
PARVA,ILK,,3,0.994621
SMAD9,SMAD4,SMAD4,0,0.997765
NCF2,NCF1,,3,0.995198
TBA1B,TBB2A,,3,0.990229
HDAC3,STAT3,STAT3,2,0.994595
BCAR1,PTN1,,3,0.992337
CO1A1,CO1A2,,3,0.99945
RGAP1,KIF23,,3,0.993002
IRAK1,TOLIP,,3,0.998655
RFA2,RFA1,,3,0.999403
P85A,IKBA,,3,0.990828
GCR,ANDR,,3,0.996892
SIR1,EP300,EP300,2,0.999151
KPCZ,PAR6A,,3,0.992528
PIAS4,STAT1,,3,0.991251
E2F4,TFDP1,,3,0.995554
PAXI,FAK1,,3,0.998393
MYC,SMAD3,,1,0.992689
TSP1,SDC4,SDC4,2,0.99503
STAT3,FOXO1,,1,0.992117
JUN,FOSL2,,1,0.990305
1433B,HDAC4,,3,0.99875
PLK1,CENPU,,3,0.996236
FKBP8,BCL2,BCL2,2,0.996554
TBL1X,TBL1R,,3,0.999784
PP1B,MYPT1,,3,0.997986
TERF2,ATM,ATM,2,0.997905
SMCA4,SNF5,,3,0.999987
SMCA2,SMCE1,,3,0.999871
RAF1,1433E,,1,0.995753
ATF2,EP300,EP300,2,0.991732
DESP,PLAK,,3,0.996297
FOXO1,SIR1,,1,0.997116
PI4KB,PI4KA,,0,0.994475
NFKB1,RELB,,3,0.991286
HDAC1,IKBA,,3,0.991831
SP1,P53,,3,0.992717
UB2D3,BIRC2,,3,0.991025
IQGA1,LIS1,,3,0.994382
DOK2,NCK1,,3,0.991534
MK03,KPCD,,3,0.991184
ATF2,CREB1,CREB1,2,0.991543
JUNB,JUN,JUN,2,0.99623
BLM,TOP3A,,1,0.999366
HEY2,RUNX2,,3,0.995723
JUN,ATF3,,1,0.99838
TRRAP,KAT5,,1,0.999747
HDAC3,GATA1,GATA1,2,0.995463
PRGC1,SIR1,,3,0.996731
HIF1A,P53,,1,0.996047
M3K3,RIPK1,,3,0.998804
BUB1,BUB3,,3,0.999365
LAMA1,SDC4,SDC4,2,0.994423
DOK2,CRK,,3,0.990058
CDN1A,CDK2,,3,0.999554
BLM,TERF2,,1,0.991987
GNB5,GBG2,,3,0.998382
CO5A2,CO5A1,,3,0.999871
SPC24,NDC80,,3,0.998158
MK14,NFAC1,,3,0.993212
UBC9,HDAC4,,3,0.997987
ARNT,HEY2,,1,0.99488
SMAD5,SKI,SKI,0,0.994596
CLD1,JAM1,,3,0.999189
TRAF6,SORT,,3,0.997112
AP2A1,AP2M1,,3,0.999954
CREB1,JUN,,1,0.999809
TFDP2,E2F4,,3,0.999478
1433E,HDAC4,,3,0.995643
CAV1,NOS3,,1,0.996896
SDC4,KPCA,,1,0.990756
HDAC3,HDAC7,,3,0.999175
CBL,CRKL,,1,0.998731
WASL,GAB1,,3,0.994201
CTNB1,CTNA1,,3,0.999634
YAP1,PML,PML,2,0.994038
CBP,JUN,JUN,2,0.999821
KC1A,NFAC2,,3,0.996328
SRC,SRC8,,1,0.994144
KI20A,PLK1,,3,0.99071
SMAD1,SKI,SKI,2,0.99186
BAX,BCL2,,1,0.991917
SP1,HDAC2,,3,0.991984
BAK,MCL1,,3,0.991009
BAK,P53,,3,0.99329
PLAK,CADH1,,3,0.999873
TERF2,WRN,WRN,2,0.991042
WNT3A,WIF1,WIF1,2,0.991918
BCL3,NFKB1,,1,0.997916
H14,SIR1,,3,0.992778
PLK1,PRC1,,3,0.993784
FAK2,BCAR1,,3,0.998762
SMAD1,SMUF2,,3,0.993226
PEBP1,RAF1,RAF1,2,0.996583
AURKB,PP1G,,1,0.995136
SHC1,GRB2,,3,0.999801
SRC,ITB3,,1,0.993556
JUND,JUNB,,3,0.994889
NEMO,TNAP3,,3,0.991771
CCND2,CDK4,,1,0.998231
DRA,DRB1,,3,0.997987
PROS,PROC,,3,0.999104
GBB1,GBGT2,,3,0.990448
SRC,FAK2,,1,0.995475
CDK6,CCND3,,1,0.994832
BAX,B2CL1,,1,0.995063
BMPR2,BMR1A,,3,0.99322
IGF1R,IRS1,,1,0.997051
TGFR1,TGFR2,,3,0.997687
SKIL,SMAD4,SMAD4,2,0.99311
CDK2,CCNA1,,3,0.995474
EP300,CBP,,1,0.99987
CBP,CREB1,CREB1,2,0.998416
ERBB2,ERBB3,,1,0.993351
ACTS,HSPB1,,3,0.998541
AKT1,HS90A,,1,0.990561
SUMO1,PML,PML,2,0.998503
I12R1,I12R2,,3,0.990426
BRCA1,CTIP,,1,0.995345
SRC,EGFR,,1,0.999119
UB2D1,RNF41,,3,0.99166
EGFR,ERBB2,,1,0.999422
AGO2,DICER,,3,0.999563
ITB4,MET,MET,2,0.998366
ITB4,FAK1,,3,0.997397
ERBB2,ITB4,,1,0.996821
KIF7,GLI2,,3,0.999963
SMO,PTC1,,1,0.990488
KIF7,KIF27,,3,0.99949
CD3Z,ZAP70,,3,0.998175
P85B,P85A,,3,0.996254
BCL10,CAR11,,1,0.994338
CAR11,ZAP70,,3,0.997439
MK01,MP2K1,,3,0.999923
GIT2,PAK1,,0,0.998727
FYB1,ENAH,,0,0.992214
PTN11,GAB2,,3,0.991022
ZAP70,RASA1,,3,0.995911
ZAP70,CD3E,,3,0.996755
ZAP70,FYN,,3,0.996391
CD3E,TRAT1,,3,0.993473
PAK1,ARHG7,,3,0.995115
PAXI,FAK2,,3,0.996059
WASP,FYN,,3,0.990793
PPIP1,WASP,,3,0.992318
FYN,CBL,CBL,2,0.998598
FYN,KSYK,,3,0.993944
TF65,STAT3,STAT3,2,0.995703
RICTR,MTOR,MTOR,2,0.997971
ONCM,IL6RB,,3,0.999846
RAF1,RASH,,1,0.998773
OSMR,ONCM,,3,0.998629
SRC,STAT3,,1,0.995609
IL6RB,OSMR,,3,0.997507
GRB2,JAK2,JAK2,2,0.993209
DOK1,FYN,,3,0.99165
AKT1,SRC,,1,0.997054
ARRB1,SRC,SRC,2,0.99419
SRC,ARRB2,,1,0.990556
AKT1,ARRB1,,1,0.994762
HCK,BCAR1,,3,0.997352
BCAR1,FYN,,3,0.990528
BCAR1,CRKL,,3,0.999375
LCK,CD79A,,1,0.996209
CD79A,CD79B,,1,0.994307
CD79A,FYN,,1,0.996308
SOS 1,CRKL,,3,0.994036
SOS 2,CRKL,,3,0.997555
LYN,BCAR1,,3,0.993709
SHC1,GAB1,,3,0.992256
PTN11,GAB1,,3,0.999015
LYN,CBL,CBL,2,0.997601
BLK,CBL,CBL,2,0.995076
CBL,BTK,,1,0.996677
TRAF6,SQSTM,,3,0.995448
TRAF6,IKKA,,3,0.997247
TRAF6,M3K7,,3,0.993514
TAB2,TRAF6,,3,0.991687
IRAK1,IRAK4,,3,0.995228
TF65,IKBA,,3,0.998611
PELI1,IRAK4,,3,0.995725
IKKA,M3K7,,3,0.992025
IRAK1,PELI1,,3,0.992721
SOS 1,GAB1,,3,0.991145
XPO1,RAN,,1,0.998297
KPCD,SHC1,,3,0.994491
CCND1,CDK2,,1,0.996788
LCK,MK01,,1,0.994963
STAT3,STA5B,,1,0.993573
CRKL,PTN11,,3,0.993079
IL2RB,IL2RG,,3,0.999602
MTOR,TERT,,1,0.993836
AKT1,TERT,,1,0.995127
CRKL,STA5A,,3,0.999224
STA5B,CRKL,,3,0.999185
STA5A,STAT3,STAT3,2,0.994014
IL2RA,IL2RB,,3,0.998332
CRKL,GAB2,,3,0.998956
CRKL,SHC1,,3,0.995492
CREB1,AKT1,,1,0.992598
P85A,PTN11,,3,0.992
KSYK,LYN,,3,0.994497
IL3RB,LYN,,3,0.991377
PAXI,ITB1,,3,0.998336
GAST,ANXA2,,0,0.998445
EP300,NCOA3,,1,0.994503
FAK1,CXCR4,CXCR4,2,0.990051
STAT6,CEBPB,,1,0.993198
PK3CD,PK3CA,,3,0.998133
DYN2,LYN,,3,0.998086
KPCD,STAT3,STAT3,2,0.995513
RAC1,VAV,,1,0.991321
STAT3,JUN,,1,0.997349
DAXX,STAT3,,1,0.994799
HS90A,STAT3,STAT3,2,0.991197
STAT3,MK03,,1,0.991417
NCOA1,STAT3,,1,0.991055
CBP,NCOA1,NCOA1,2,0.999684
M3K7,STAT3,STAT3,2,0.997932
ANDR,NCOA1,NCOA1,2,0.998238
STAT3,HDAC1,,1,0.997322
IL7RA,IL2RG,,3,0.99684
PP1A,ANDR,,3,0.997788
ANDR,RUNX2,,3,0.996732
CEBPA,ANDR,,1,0.991682
TLE5,ANDR,,3,0.990175
ANDR,KAT2B,,3,0.997915
SRC,P85A,,1,0.994764
ESR1,SRC,,1,0.994993
ANDR,DAXX,DAXX,2,0.999056
RNF4,ANDR,,3,0.994398
UBC9,ANDR,,3,0.999448
ANDR,SIR1,,3,0.998764
SMCE1,ANDR,,3,0.996778
NCOR1,ANDR,,1,0.998857
KAT7,ANDR,,1,0.992745
CCNH,TF2H1,,3,0.997057
ANDR,ESR1,ESR1,2,0.992817
AKT1,DP13A,,1,0.995121
RAN,ANDR,,3,0.995316
ANDR,NR2C1,,3,0.991196
PIAS4,ANDR,,3,0.99437
PIAS3,ANDR,,3,0.997515
ANDR,CDK9,,3,0.994286
XRCC5,ANDR,,3,0.997603
RAC3,ANDR,,3,0.993845
ANDR,BRCA1,BRCA1,2,0.995216
ANDR,NR2C2,,3,0.991465
ANDR,JUN,JUN,2,0.998627
KAT5,STAT3,STAT3,2,0.994074
CYLD,TRAF6,,1,0.997568
SPI1,NFAC1,,3,0.998155
SRC,ITB5,,1,0.990915
TSHR,GNA13,,1,0.993172
BIRC2,TRAF2,,3,0.99972
RIPK1,CASP8,CASP8,2,0.996387
TF65,HDAC1,,3,0.999203
SUH,NCOR1,NCOR1,2,0.998112
SUH,NCOR2,NCOR2,2,0.997864
HDAC1,SUH,,3,0.997879
CIR1,SUH,,3,0.992008
CIR1,SAP30,,3,0.997293
HDAC2,CIR1,,3,0.99882
KAT2B,NOTC3,,0,0.99116
NOTC1,NFKB1,,3,0.991453
NOTC1,SNW1,,3,0.99004
STAT3,JAK2,,1,0.994576
FBXW7,SKP1,,1,0.993425
GRB2,P85A,,3,0.99395
PLCG1,SRC,,1,0.991027
DP13A,MTA2,,3,0.990718
KPCA,PLD1,,3,0.996142
STAT3,JAK1,,1,0.993976
MP2K2,MK03,,3,0.998882
JUN,MK03,,1,0.992072
EGFR,GRB2,,1,0.99944
SHC1,EGFR,EGFR,2,0.999568
PLD1,EGFR,EGFR,2,0.992553
ELK1,MK03,,3,0.992459
STAT3,RAC1,,1,0.990987
CRK,GRB2,,3,0.995905
CAV2,RASA1,,3,0.992516
GAB1,PLCG1,PLCG1,2,0.99237
JUN,MK01,,1,0.991811
KPCA,EGFR,EGFR,2,0.996582
STAT3,EGFR,,1,0.994183
EGFR,NCK2,,1,0.993002
EGFR,NCK1,,1,0.994423
EGFR,MP2K1,,1,0.996708
ACK1,GRB2,,3,0.991447
EGFR,CSK,,1,0.992798
SRC,DYN1,,1,0.990747
CASP9,MK03,,1,0.991288
CEBPA,MYC,,1,0.993991
PTN1,EGFR,EGFR,2,0.99797
EGFR,CBL,,1,0.999368
RASK,BRAF,BRAF,2,0.993124
MK01,PEBP1,,3,0.997505
MP2K1,PEBP1,,3,0.996929
MK03,CAV1,CAV1,2,0.999101
EGFR,PAK1,,1,0.996832
MP2K1,RAF1,RAF1,2,0.998591
FRS3,MK01,,0,0.996091
CAV1,CADH1,,1,0.998092
P3C2B,GRB2,,3,0.995704
MK01,CAV1,CAV1,2,0.998986
EGFR,CAV1,,1,0.999152
EGFR,PLS1,,1,0.997179
PLS1,SHC1,,3,0.994248
AKT1,PDPK1,,1,0.994906
MK01,EGFR,EGFR,2,0.997017
SP1,JUN,JUN,2,0.991263
ELK1,ID2,,3,0.991522
ID2,RBL2,,3,0.990817
SOCS1,GRB2,,1,0.99089
WIPF1,WASP,,3,0.993258
IL7RA,KIT,KIT,2,0.992437
SRC,KIT,,1,0.992778
STA5A,STAT1,,3,0.991428
STAT1,STA5B,,3,0.991586
CRKL,DOK1,,3,0.993547
RBL2,E2F4,,3,0.990381
SMAD3,SMAD2,,1,0.999642
E2F4,RBL1,,3,0.996599
UBC9,SMAD4,SMAD4,2,0.99592
SNX6,SNX4,,3,0.994405
SNX2,SNX6,,3,0.99608
SNX6,SNX1,,3,0.993286
SMAD4,FBW1A,,1,0.993363
EP300,SMAD7,,1,0.996612
SMAD4,EP300,,1,0.998918
SMAD2,PPM1A,,1,0.992929
SMAD3,NU214,,1,0.997737
DCP1A,SMAD4,SMAD4,2,0.99697
SMAD4,SKI,,1,0.995825
SKI,SKIL,,1,0.992626
EP300,SMAD3,,1,0.997666
SMAD3,FOXO3,,1,0.993108
NFYB,NFYC,,3,0.999525
FOXO3,SMAD4,,1,0.997037
SKI,SMAD3,,1,0.99715
SMAD4,JUN,,1,0.99877
TGFR1,SMAD3,SMAD3,2,0.990318
PAR6A,TGFR1,,3,0.993006
CDC16,SMAD2,SMAD2,2,0.997233
CDC16,SMAD3,SMAD3,2,0.991
SNW1,SMAD3,SMAD3,0,0.994562
SMAD2,CDC27,,1,0.997637
CDC27,SMAD3,SMAD3,2,0.992666
TGFR1,P85A,,3,0.990879
SMAD3,RBL1,,1,0.995944
CUL1,SMAD3,SMAD3,2,0.996522
FOXO1,SMAD4,,1,0.997945
FOXO1,SMAD3,,1,0.99526
FOXO4,SMAD4,,1,0.993001
E2F5,TFDP1,,3,0.997078
HDAC1,RBL2,,3,0.991838
RBX1,SMAD3,SMAD3,2,0.996412
FBW1A,SMAD3,SMAD3,2,0.990859
SMAD4,KAP2,,1,0.992184
SMAD2,SKIL,,1,0.991886
SMAD3,HNF4A,,1,0.99296
HNF4A,SMAD4,SMAD4,2,0.99731
E2F4,SMAD3,SMAD3,2,0.993012
JUN,SMAD3,,1,0.99803
NCOA1,EP300,,1,0.998665
EGLN,TGFR2,,3,0.990875
TGFR2,P85A,,3,0.992552
SUMO1,SMAD4,SMAD4,2,0.994002
CAV1,TGFR1,,1,0.992861
NFYA,NFYC,,3,0.999391
SMAD3,NU153,,1,0.997914
CCND1,CDN1A,,1,0.998707
FOS,SMAD3,SMAD3,2,0.995384
SMAD2,FOXH1,,1,0.999683
MYC,SMAD2,,1,0.995422
SMAD3,P73,,1,0.992443
SMAD3,KAT2B,,1,0.996938
BRCA1,SMAD3,,1,0.994581
SMAD3,P53,,1,0.996501
P53,SMAD2,SMAD2,2,0.998027
NTF3,BDNF,,3,0.99537
CTNB1,AXIN1,AXIN1,2,0.999542
CTNB1,KC1A,,3,0.995187
DVL2,RHOA,RHOA,2,0.992005
AXIN1,PP2AA,,1,0.996218
DVL2,RAC1,RAC1,2,0.996603
GSK3B,APC,APC,2,0.998781
TF7L2,CTBP1,,3,0.998958
HS90B,NEMO,,3,0.991964
HS90B,M3K3,,3,0.995308
CBP,TF65,,3,0.999402
CBP,IKKA,,3,0.990216
NFKB1,IMA4,,3,0.997088
TRAF2,TBK1,,3,0.990127
FAF1,TF65,,3,0.996689
PML,TF65,,1,0.99381
NFKB1,NEMO,,3,0.991874
IKKA,IKBA,,3,0.998018
CFLAR,FADD,,3,0.993872
HS90A,IKKE,,3,0.992734
HS90A,RIPK1,,3,0.990633
IKKB,NEMO,,3,0.999585
IKKB,SRC,SRC,2,0.998293
IKKA,NFKB1,,3,0.991481
