Gene1,Gene2,connected_driver_gene,gene_type,confidence
FAK2,CBL,CBL,2,0.84
LCP2,CBL,CBL,2,0.88
CRKL,CBL,CBL,2,0.97
SPY2,CBL,CBL,2,0.9
UB2D2,CBL,CBL,2,0.9
P85B,CBL,CBL,2,0.96
CD151,ITA3,,3,0.9
UB2L3,CBL,CBL,2,0.9
CD2AP,CBL,CBL,2,0.97
CD151,ITB1,,3,0.84
SRBS1,CBL,CBL,2,0.88
SLAP2,CBL,CBL,2,0.9
FRS2,CBL,CBL,2,0.89
UBS3B,CBL,CBL,2,0.86
RHPN2,RHOB,,3,0.87
RTKN,RHOC,,3,0.87
CTRO,RHOC,,3,0.83
MCF 2.00,RHOA,RHOA,2,0.89
KTN1,RHOA,,1,0.85
PKN1,RHOA,RHOA,2,0.9
ROCK1,RHOA,RHOA,2,0.97
TRIO,RHOA,RHOA,2,0.9
GDIR1,RHOA,RHOA,2,0.97
MYPT1,RHOA,RHOA,2,0.84
RTKN,RHOA,RHOA,2,0.96
CNTP1,RHOA,RHOA,2,0.85
PLD1,RHOA,RHOA,2,0.9
PKN2,RHOA,RHOA,2,0.9
RHG01,RHOA,RHOA,2,0.9
GDIR2,RHOA,RHOA,2,0.82
GDIR3,RHOA,RHOA,2,0.87
AKP13,RHOA,RHOA,2,0.88
ARHG4,RHOA,RHOA,2,0.88
VAV3,RHOA,RHOA,2,0.88
ARHGC,RHOA,RHOA,2,0.9
CTRO,RHOA,RHOA,2,0.9
ARHGB,RHOA,RHOA,2,0.9
DAAM1,RHOA,RHOA,2,0.9
RHPN2,RHOA,RHOA,2,0.85
ARHG2,RHOA,RHOA,2,0.89
DEFI6,RHOA,RHOA,2,0.85
GDS1,RHOA,RHOA,2,0.9
CNKR1,RHOA,RHOA,2,0.9
MCF2L,RHOA,RHOA,2,0.89
,RHOA,RHOA,2,0.84
ELNE,SLPI,,3,0.83
RHPN1,RHOA,RHOA,2,0.81
OAZ1,DCOR,,3,0.86
OAZ2,DCOR,,3,0.8
GRN,SLPI,,3,0.87
TITIN,NBR1,,3,0.87
FEZ1,NBR1,,3,0.86
VAPA,OSBP1,,3,0.97
PAXI1,PAX2,,3,0.89
MEOX1,PAX1,,3,0.84
MEOX2,PAX1,,3,0.94
BCE1,PAX5,PAX5,2,0.89
NKX21,PAX8,PAX8,2,0.95
PAX9,KDM5B,,3,0.88
PLS1,SLPI,,3,0.86
SMAD5,WWP1,,0,0.89
ANT3,ANT3,,3,0.88
PTH1R,PTHY,,0,0.85
PCNA,CCND1,,1,0.9
RB,CCND1,CCND1,2,0.9
TAF1,CCND1,CCND1,2,0.9
ANDR,CCND1,CCND1,2,0.9
CDN1B,CCND1,CCND1,2,0.97
EP300,CCND1,,1,0.88
CDK6,CCND1,,1,0.97
AKAP8,CCND1,CCND1,2,0.86
KAT2B,CCND1,CCND1,0,0.86
HDAC3,CCND1,CCND1,2,0.89
PTHR,PTH1R,,3,0.89
IMB1,PTHR,,3,0.89
THRB,ANT3,,3,0.88
TAP2,TAP1,,3,0.9
PDIA3,TAP1,,0,0.89
TPSN,TAP1,,3,0.9
TPSN,TAP2,,3,0.89
RASF9,AMD,,3,0.84
PEX10,PEX2,,3,0.94
ABCD1,ABCD3,,3,0.86
CAH2,SL9A1,,3,0.89
PEX19,ABCD3,,3,0.9
RXRA,PPARA,,3,0.9
NCOR2,PPARA,,1,0.89
NCOR1,PPARA,,1,0.9
NRIP1,PPARA,,3,0.88
NCOA1,PPARA,,1,0.9
EP300,PPARA,,1,0.88
PRGC1,PPARA,,3,0.88
GA45G,PPARA,,3,0.85
NR1H3,PPARA,,3,0.9
1433B,SL9A1,,3,0.86
GPI8,PPB1,,3,0.89
P85A,P85A,,3,0.89
PGFRB,P85A,,3,0.9
PTN11,P85A,,3,0.89
CHP1,SL9A1,,0,0.9
"CD2A1,CDN2A,ARF",NUCL,,3,0.84
CD28,P85A,,1,0.9
CD7,P85A,,3,0.9
RASH,P85A,,3,0.9
SRC,P85A,,1,0.89
"TESC,CHP3",SL9A1,,3,0.9
ERBB3,P85A,,1,0.97
TGFR1,P85A,,3,0.83
SH3K1,P85A,,3,0.9
WASP,P85A,,3,0.89
CSF2R,P85A,,3,0.86
ARAF,P85A,,3,0.88
UBF1,RPA34,,3,0.87
SHC1,P85A,,3,0.9
FAK1,P85A,,3,0.88
IRS2,P85A,,3,0.9
GHR,P85A,,3,0.87
MK08,P85A,,3,0.84
CRKL,P85A,,3,0.9
RAC1,P85A,,1,0.89
ADA12,P85A,,3,0.89
PK3CD,P85A,,3,0.97
PK3CB,P85A,,3,0.97
IRS4,P85A,,1,0.84
SOCS1,P85A,,1,0.84
GAB1,P85A,,3,0.97
RPA49,RPA34,,3,0.9
1433G,P85A,,3,0.86
GAB2,P85A,,3,0.96
CD3E,P85A,,3,0.85
IFNW1,INAR1,,3,0.83
RASH,PK3CA,,3,0.95
IRS4,PK3CA,,1,0.83
P55G,PK3CA,,3,0.96
IFNA2,INAR1,,3,0.84
RHES,PK3CA,,3,0.85
1433Z,F262,,3,0.89
IFNB,INAR1,,3,0.88
"K6PF,PFKAM","K6PL,PFKAL",,3,0.98
S10A1,PGM1,,3,0.86
S100B,PGM1,,3,0.86
SARCO,PPLA,,3,0.84
PGFRB,PLCG1,PLCG1,2,0.96
PGFRA,PLCG1,PLCG1,2,0.9
FGFR2,PLCG1,,1,0.9
ZAP70,PLCG1,PLCG1,2,0.87
SOS 1,PLCG1,PLCG1,2,0.96
TYK2,INAR1,,3,0.9
ITK,PLCG1,,1,0.89
SRC,PLCG1,,1,0.85
NTRK1,PLCG1,,1,0.9
NTRK3,PLCG1,,1,0.86
WASP,PLCG1,PLCG1,2,0.86
KSYK,PLCG1,PLCG1,2,0.95
SHB,PLCG1,PLCG1,2,0.83
FAK1,PLCG1,PLCG1,2,0.92
IRS2,PLCG1,PLCG1,2,0.83
SOS 2,PLCG1,PLCG1,2,0.89
LCP2,PLCG1,PLCG1,2,0.97
3BP2,PLCG1,PLCG1,2,0.88
LAT,PLCG1,PLCG1,2,0.97
KHDR1,PLCG1,PLCG1,2,0.9
BAG3,PLCG1,PLCG1,2,0.88
GAB1,PLCG1,PLCG1,2,0.96
STAT2,INAR1,,3,0.9
NTAL,PLCG1,PLCG1,2,0.85
PLMN,ENOA,,3,0.86
PHKG1,PHKG2,,3,0.84
ANM1,INAR1,,3,0.88
RNAS1,RINI,,3,0.9
THRB,SPB6,,3,0.86
APC,PLAK,,1,0.97
CADH1,PLAK,,3,0.96
CADH5,PLAK,,3,0.88
TF7L2,PLAK,,3,0.9
FBW1A,PLAK,,3,0.88
PAI1,PLMN,,3,0.85
IFNG,INGR1,,3,0.9
SPRC,PLMN,,3,0.85
TSP1,PLMN,,3,0.85
JAK1,INGR1,,1,0.89
A2AP,PLMN,,3,0.89
DEK,AP2A,,1,0.87
TPA,PAI1,,3,0.88
THRB,PAI1,,3,0.86
UROK,PAI1,,3,0.9
VTNC,PAI1,,3,0.9
TETN,TPA,,3,0.85
UROK,TPA,,3,0.85
YBOX1,AP2A,,3,0.86
IPSP,TPA,,3,0.85
TPA,NEUS,,3,0.89
IC1,TPA,,3,0.84
PR40A,RU17,,3,0.87
RB,PAI2,,3,0.89
UROK,PAI2,,3,0.89
UROK,UPAR,,3,0.9
VTNC,UPAR,,3,0.85
PGFRB,PGFRB,,3,0.96
P53,AP2A,,3,0.9
PGFRA,PGFRB,,3,0.9
PTN11,PGFRB,,3,0.99
PTN1,PGFRB,,3,0.98
PDGFB,PGFRB,,1,0.9
NCK1,PGFRB,,0,0.87
SHC1,PGFRB,,3,0.84
PTPRJ,PGFRB,,3,0.87
SNX1,PGFRB,,3,0.87
S1PR1,PGFRB,,3,0.83
NCK2,PGFRB,,3,0.9
NHRF1,PGFRB,,3,0.97
PDGFA,PDGFA,,3,0.87
PGFRA,PDGFA,,3,0.9
PECA1,PECA1,,3,0.85
PTN11,PECA1,,3,0.9
PTN6,PECA1,,3,0.89
SRC,PECA1,,1,0.89
ITB3,ITB3,,3,0.87
TLN1,ITB3,,3,0.97
TSP1,ITB3,,3,0.87
ITAV,ITB3,,3,0.9
FAK1,ITB3,,3,0.9
EP300,AP2A,,1,0.88
ITA2B,ITB3,,3,0.9
CENPR,ITB3,,3,0.87
PGFRA,PGFRA,,3,0.9
PTN11,PGFRA,,3,0.8
PDGFB,PGFRA,,1,0.9
CITE2,AP2A,,3,0.88
CAV1,PGFRA,,1,0.89
CRKL,PGFRA,,3,0.87
NHRF1,PGFRA,,3,0.89
SNX4,PGFRA,,3,0.83
PDGFC,PGFRA,,3,0.9
TSP1,CD36,,3,0.88
GP1BA,GPIX,,3,0.89
SELPL,LYAM3,,3,0.9
SNX17,LYAM3,,3,0.87
VTNC,PVR,,3,0.85
PVRL1,PVR,,3,0.83
PVRL3,PVR,,3,0.89
CD226,PVR,,0,0.9
PARP1,PARP1,,1,0.89
PCNA,PARP1,,1,0.86
P53,PARP1,PARP1,2,0.9
XRCC1,PARP1,,1,0.9
SF3B1,SNIP1,,1,0.83
DPOLA,PARP1,PARP1,2,0.87
PRKDC,PARP1,PARP1,2,0.84
APOD,APOA2,,3,0.8
ZN423,PARP1,PARP1,2,0.89
WRN,PARP1,,1,0.88
APTX,PARP1,PARP1,2,0.9
PARP2,PARP1,PARP1,2,0.88
RBM14,PARP1,PARP1,2,0.83
MAN1,SMAD9,,3,0.87
PKD1,PKD2,,3,0.97
TRPC1,PKD2,,3,0.89
SSBP,DPOG1,,3,0.84
KC1E,APC,APC,2,0.89
KIFA3,APC,APC,2,0.95
SIAH1,APC,APC,2,0.9
PLTP,APOA2,,3,0.88
BUB1,APC,APC,2,0.87
MARE1,APC,APC,2,0.97
ARHG4,APC,APC,2,0.9
KCNQ1,KCNE1,,3,0.9
KCNA4,KCNA2,,3,0.84
PTPRA,KCNA2,,3,0.88
KCAB1,KCNA2,,3,0.92
KCAB2,KCNA2,,3,0.94
KCNA5,KCNA2,,3,0.83
KCNA3,KCNA2,,3,0.84
RET4,TTHY,,3,0.9
APOA1,TTHY,,3,0.83
PRG2,PAPP1,,3,0.84
ROCK1,PROF2,,3,0.81
VASP,PROF2,,3,0.9
EVL,PROF2,,3,0.88
CALR,APOB,,1,0.85
WASL,PROF1,,3,0.88
"FMNL,FMNL1",PROF1,,3,0.88
XPO6,PROF1,,3,0.83
ENAH,PROF1,,3,0.88
CALX,APOB,,3,0.84
CLUS,"PRIO,APRIO,PRIO",,3,0.92
L1CAM,"PRIO,APRIO,PRIO",,3,0.82
PPIB,APOB,,3,0.87
STIP1,"PRIO,APRIO,PRIO",,3,0.96
PDIA1,"PRIO,APRIO,PRIO",,3,0.82
GRP78,APOB,,3,0.84
RB,PHB,,3,0.9
E2F1,PHB,,1,0.9
P53,PHB,,3,0.9
SMCA2,PHB,,3,0.83
NCOR1,PHB,,1,0.83
HDAC1,PHB,,3,0.89
SMCA4,PHB,,3,0.86
INS,INS,,3,0.9
PCNA,PCNA,,1,1.0
RFA1,PCNA,PCNA,2,0.84
XRCC1,PCNA,,1,0.9
FEN1,PCNA,,1,0.97
RFC2,PCNA,PCNA,2,0.96
CDN1C,PCNA,PCNA,2,0.89
MSH3,PCNA,PCNA,2,0.97
HDAC1,PCNA,PCNA,2,0.9
CAF1A,PCNA,PCNA,2,0.9
ING1,PCNA,PCNA,2,0.89
EP300,PCNA,,1,0.9
HUS1,PCNA,PCNA,2,0.86
RAD9A,PCNA,PCNA,2,0.84
POLH,PCNA,PCNA,2,0.97
MTP,APOB,,3,0.89
WRN,PCNA,,1,0.9
MUTYH,PCNA,,1,0.89
GA45G,PCNA,PCNA,2,0.97
CCNO,PCNA,PCNA,2,0.89
APEX2,PCNA,PCNA,2,0.96
DPOE1,PCNA,PCNA,2,0.89
MSH6,PCNA,,1,0.97
DPOLB,PCNA,PCNA,2,0.86
SGCD,FLNC,,3,0.89
ENPL,APOB,,3,0.88
MCL1,PCNA,PCNA,2,0.89
DPOLL,PCNA,PCNA,2,0.87
DPOD3,PCNA,PCNA,2,0.9
CTF18,PCNA,PCNA,2,0.96
DPOD2,PCNA,PCNA,2,0.97
PDIP2,PCNA,PCNA,2,0.89
PRLR,PRLR,,3,0.93
PTN11,PRLR,,3,0.83
SOCS2,PRLR,,0,0.84
PRL,PRLR,,1,0.96
PRDX4,PRDX1,,3,0.85
APOA1,APOB,,3,0.84
KLK3,A1AT,,1,0.83
IPSP,KLK3,KLK3,2,0.88
LDLR,APOB,,3,0.88
MC5R,COLI,,3,0.86
PLK1,PSA3,,3,0.88
PSA1,PSA3,,3,1.0
PSA6,PSA3,,3,0.99
PDIA4,APOB,,3,0.88
PSB9,PSB10,,3,0.83
PROS,PROC,,3,0.84
EPCR,PROC,,3,0.86
IPSP,PROC,,3,0.89
E2AK2,E2AK2,,3,0.9
E2AK2,P53,,3,0.9
STAT1,E2AK2,,3,0.88
DNJC3,E2AK2,,3,0.87
E2AK2,2A5A,,3,0.87
TRBP2,E2AK2,,3,0.89
PP1G,E2AK2,,3,0.84
MP2K1,MP2K1,,3,0.86
MK01,MP2K1,,3,1.0
MYC,MP2K1,,1,0.83
ARAF,MP2K1,,3,0.9
MK03,MP2K1,,3,0.97
PEBP4,MP2K1,,0,0.89
JIP3,MP2K1,,3,0.95
KSR2,MP2K1,,3,0.89
EPHA2,PTN11,,3,0.88
APOE,APOE,,3,0.9
PTN11,STAT1,,3,0.82
PTN11,IL6RB,,3,0.87
FAK1,PTN11,,3,0.88
GHR,PTN11,,3,0.88
LEPR,PTN11,,3,0.89
LRP1,APOE,,3,0.9
CAV1,PTN11,,1,0.89
PTN11,STA5A,,3,0.9
CRKL,PTN11,,3,0.87
PAXI,PTN11,,3,0.87
LAIR1,PTN11,,3,0.84
SLAF1,PTN11,,3,0.9
PTN11,MPZL1,,3,0.96
PTN11,GAB1,,3,0.97
SIT 1.00,PTN11,,3,0.89
PILRA,PTN11,,3,0.83
PTN11,GAB2,,3,0.96
PTN11,FRS2,,3,0.9
BTLA,PTN11,,3,0.93
SHIP1,PTN11,,3,0.85
APOE,TAU,,3,0.89
GRID2,PTN4,,3,0.84
MK01,PTN5,,3,0.9
MK03,PTN5,,3,0.96
FA5,PROS,,3,0.85
FA8,PROS,,3,0.85
TIE2,PTPRB,PTPRB,2,0.8
CADH5,PTPRB,PTPRB,2,0.84
CNTN1,PTPRB,PTPRB,2,0.86
TYK2,PTN6,,3,0.88
ZAP70,PTN6,,3,0.86
SSR2,PTN6,,3,0.85
ABL1,PTN6,,1,0.85
KSYK,PTN6,,3,0.88
CAV1,PTN6,,1,0.88
LCP2,PTN6,,3,0.89
PTN6,SHPS1,,3,0.9
BLNK,PTN6,,3,0.85
PILRA,PTN6,,3,0.89
PTN6,GAB2,,3,0.83
MYOZ1,FLNC,,3,0.89
LRP2,APOE,,3,0.86
FCG2B,PTN6,,3,0.82
LIRB2,PTN6,,3,0.88
LIRB4,PTN6,,3,0.89
CLM1,PTN6,,3,0.88
PTN6,P85A,,3,0.89
LRP8,APOE,,3,0.89
PTN6,FAK2,,3,0.87
PTPRA,PTPRA,,3,0.89
SRC,PTPRA,,1,0.9
LDLR,APOE,,3,0.89
TYK2,PTN1,,3,0.86
PTN1,SRC,SRC,2,1.0
NTRK3,PTN1,,1,0.83
NTRK2,PTN1,,3,0.8
CAV1,PTN1,,1,0.9
PTN1,STA5A,,3,0.84
BCAR1,PTN1,,3,1.0
CLK2,PTN1,,3,0.82
PTN1,STA5B,,3,0.8
GSK3B,PTN1,,3,0.86
CLK1,PTN1,,3,0.81
PTN1,IKBA,,3,0.85
SMAD4,HM20A,,1,0.83
GBLP,PTPRM,,3,0.87
CTND1,PTPRM,,3,0.87
MK01,PTN7,,3,0.9
MK14,PTN7,,3,0.87
MK03,PTN7,,3,0.9
KAP2,KAP2,,3,0.85
AKA28,KAP2,,3,0.9
AKAP1,KAP2,,3,0.9
AKAP9,KAP2,,1,0.95
AKP13,KAP2,,3,0.9
AKAP5,KAP2,,3,0.97
AKAP3,KAP2,,0,0.96
AKAP8,KAP2,,3,0.89
AKA11,KAP2,,3,0.9
AKA12,KAP2,,3,0.86
RAB32,KAP2,,3,0.86
"HSP71,HS71B",APEX1,APEX1,2,0.87
"HSP71,HS71B",APEX1,APEX1,2,0.87
AKAP2,KAP2,,3,0.95
AKAP2,KAP2,,3,0.95
AKA7A,KAP2,,3,0.88
KAP0,KAP1,,3,0.9
AKA28,KAP3,,3,0.88
AKAP1,KAP3,,3,0.88
AKAP9,KAP3,,1,0.85
AKAP5,KAP3,,3,0.9
AKA11,KAP3,,3,0.89
THRB,PAR1,,3,0.84
TRBM,THRB,,3,0.9
GP1BA,THRB,,3,0.84
PCNA,APEX1,,1,0.86
IPSP,THRB,,3,0.83
THRB,CBPB2,,3,0.85
THIO,APEX1,APEX1,2,0.89
P53,APEX1,APEX1,2,0.86
S100B,S10A1,,3,0.9
RAGE,S10A1,,3,0.83
CAZA1,S10A1,,3,0.83
S10A4,S10A1,,3,0.9
XRCC1,APEX1,,1,0.89
GBLP,TYK2,,3,0.88
I13R1,TYK2,,3,0.83
TYK2,STAT1,,3,0.8
STAM2,TYK2,,3,0.85
FER,FER,,3,0.87
TMF1,FER,,3,0.85
FGF10,FGFR2,FGFR2,2,0.9
PK3CG,EPHA8,,3,0.84
FEN1,APEX1,,1,0.88
EFNA5,EPHA8,,3,0.85
EFNA1,EPHA2,,3,0.89
SLAP1,EPHA2,,3,0.89
EFNA5,EPHA2,,3,0.9
CD3Z,ZAP70,,3,0.9
EP300,APEX1,,1,0.9
SHC1,ZAP70,,3,0.89
SLAP1,ZAP70,,3,0.84
ZAP70,LCP2,,3,0.86
3BP2,ZAP70,,3,0.88
ZAP70,LAT,,3,0.87
CBLB,ZAP70,,1,0.84
SGCG,FLNC,,3,0.89
HNRPL,APEX1,APEX1,2,0.88
ZAP70,DBNL,,3,0.89
PPAC,ZAP70,,3,0.84
CD3E,ZAP70,,3,0.9
HIF1A,APEX1,,1,0.85
MK01,MK01,,3,0.95
MUTYH,APEX1,,1,0.9
MK01,P53,,3,0.89
KS6A3,MK01,,3,0.99
ELK1,MK01,,3,0.97
DUS3,MK01,,3,0.88
MK14,MK01,,3,0.96
SHC1,MK01,,3,0.89
MK01,DUS1,,3,0.96
MP2K2,MK01,,3,0.99
STA5A,MK01,,3,0.9
MK01,KS6A1,,3,0.99
KS6A2,MK01,,3,0.97
DCTN1,APEX1,,1,0.84
PAXI,MK01,,3,0.85
DPOLB,APEX1,APEX1,2,0.88
DUS4,MK01,,3,0.94
DUS7,MK01,,3,0.86
PTPRR,MK01,,3,0.97
MK01,IEX1,,3,0.86
PEA15,MK01,,3,0.9
KS6A4,MK01,,3,0.93
MKNK2,MK01,,3,0.96
SET,APEX1,,1,0.85
PEBP1,MK01,,3,0.86
TNIP1,MK01,,3,0.9
MK01,TOB1,,3,0.89
MKNK1,MK01,,3,0.97
MK01,DUS16,,3,0.89
MK01,ERF,,3,0.85
KPCA,KPCA,,3,0.94
KPCA,NCF1,,3,0.82
CALR,LRP1,,1,0.83
C1QBP,KPCA,,3,0.89
1433Z,KPCA,,3,0.84
KPCA,PLD1,,3,0.84
DLG4,KPCA,,3,0.89
AKAP5,KPCA,,3,0.85
AKA12,KPCA,,3,0.86
GBLP,KPCB,,3,0.9
KPCB,NCF1,,3,0.89
KPCB,BTK,BTK,2,0.86
MK,LRP1,,3,0.84
PAI1,LRP1,,3,0.84
PDPK1,KPCB,,3,0.85
1433G,KPCB,,3,0.83
PDLI5,KPCB,,3,0.88
TPA,LRP1,,3,0.86
AFAP1,KPCB,,3,0.85
RIPK4,KPCB,,3,0.89
PDLI7,KPCB,,3,0.84
KPCE,KPCE,,3,0.87
GBLP,KPCE,,3,0.89
VDAC1,KPCE,,3,0.86
KPCD1,KPCE,,3,0.8
PDLI5,KPCE,,3,0.82
TSP1,LRP1,,3,0.87
COPB2,KPCE,,3,0.86
KPCD,KPCD,,3,0.97
KPCD,NCF1,,3,0.83
KPCD,STAT1,,3,0.89
SHC1,KPCD,,3,0.96
C1QBP,KPCD,,3,0.89
PDPK1,KPCD,,3,0.88
LIPL,LRP1,,3,0.87
RIPK4,KPCD,,3,0.89
1433G,KPCG,,3,0.83
GBRA4,KPCG,,3,0.83
AFAP1,KPCG,,3,0.85
SHC1,LRP1,,3,0.89
GBLP,GBLP,,3,0.88
RB,GBLP,,3,0.83
SRC,GBLP,,1,0.9
ANDR,GBLP,,3,0.9
ITB2,GBLP,,3,0.89
PDE4D,GBLP,,3,0.9
STAT1,GBLP,,3,0.89
INAR2,GBLP,,3,0.9
IF6,GBLP,,3,0.89
